Title,Composer,CatNo,Date,Range,Inst1,Inst2,Inst3,Genre,Subgenre,Species ,Species2,Nationality,Key,Modulation
Piano Sonata K333 ii Eb major,Mozart,K333,1778,,Piano,,,SoloSonata,,SlowMovement,,Austria,Eb major,
Piano Sonata K333 iii Bb major,Mozart,K333,1778,,Piano,,,SoloSonata,,LastMovement,,Austria,Eb major,
Piano Sonata K372a i Bb major,Mozart,K372a,1781,,Piano,,,SoloSonata,,FirstMovement,,Austria,Bb major,
Piano Sonata K457 i C minor,Mozart,K457,1784,,Piano,,,SoloSonata,,FirstMovement,,Austria,C minor,
Piano Sonata K457 ii Eb major,Mozart,K457,1784,,Piano,,,SoloSonata,,SlowMovement,,Austria,Eb major,
Piano Sonata K457 iii C minor,Mozart,K457,1784,,Piano,,,SoloSonata,,LastMovement,,Austria,C minor,
Piano Sonata K494 i F major,Mozart,K494,1786,,Piano,,,SoloSonata,,FirstMovement,,Austria,F major,
Piano Sonata K494 ii Bb major,Mozart,K494,1786,,Piano,,,SoloSonata,,SlowMovement,,Austria,Eb major,
Piano Sonata K494 iii F major,Mozart,K494,1786,,Piano,,,SoloSonata,,LastMovement,,Austria,F major,
Piano Sonata K545 i C major,Mozart,K545,1788,,Piano,,,SoloSonata,,FirstMovement,,Austria,C major,
Piano Sonata K545 ii G major,Mozart,K545,1788,,Piano,,,SoloSonata,,SlowMovement,,Austria,G major,
Piano Sonata K545 iii C major,Mozart,K545,1788,,Piano,,,SoloSonata,,LastMovement,,Austria,C major,
Piano Sonata K547a i F major,Mozart,K547a,1788,,Piano,,,SoloSonata,,FirstMovement,,Austria,F major,
Piano Sonata K547a ii F major,Mozart,K547a,1788,,Piano,,,SoloSonata,,LastMovement,,Austria,F major,
Piano Sonata K570 i Bb major,Mozart,K570,1789,,Piano,,,SoloSonata,,FirstMovement,,Austria,Bb major,
Piano Sonata K570 ii Eb major,Mozart,K570,1789,,Piano,,,SoloSonata,,SlowMovement,,Austria,Eb major,
Piano Sonata K570 iii Bb major,Mozart,K570,1789,,Piano,,,SoloSonata,,LastMovement,,Austria,Bb major,
Piano Sonata K576 i D major,Mozart,K576,1789,,Piano,,,SoloSonata,,FirstMovement,,Austria,D major,
Piano Sonata K576 ii A major,Mozart,K576,1789,,Piano,,,SoloSonata,,SlowMovement,,Austria,A major,
Piano Sonata K576 iii D major,Mozart,K576,1789,,Piano,,,SoloSonata,,LastMovement,,Austria,D major,
Piano Trio K442 i D minor,Mozart,K442,1783,,Piano,Violin,Cello,PianoTrio,,FirstMovement,,Austria,D minor,D major
Piano Trio K442 ii G major,Mozart,K442,1783,,Piano,Violin,Cello,PianoTrio,,SlowMovement,,Austria,G major,
Piano Trio K442 iii D major,Mozart,K442,1783,,Piano,Violin,Cello,PianoTrio,,LastMovement,,Austria,D major,
Piano Trio K496 i G major,Mozart,K496,1786,,Piano,Violin,Cello,PianoTrio,,FirstMovement,,Austria,G major,
Piano Trio K496 ii C major,Mozart,K496,1786,,Piano,Violin,Cello,PianoTrio,,SlowMovement,,Austria,C major,
Piano Trio K496 iii G major,Mozart,K496,1786,,Piano,Violin,Cello,PianoTrio,,LastMovement,,Austria,G major,
Piano Trio K502 i Bb major,Mozart,K502,1786,,Piano,Violin,Cello,PianoTrio,,FirstMovement,,Austria,Bb major,
Piano Trio K502 ii Eb major,Mozart,K502,1786,,Piano,Violin,Cello,PianoTrio,,SlowMovement,,Austria,Eb major,
Piano Trio K502 iii Bb major,Mozart,K502,1786,,Piano,Violin,Cello,PianoTrio,,LastMovement,,Austria,Bb major,
Piano Trio K542 i E major,Mozart,K542,1788,,Piano,Violin,Cello,PianoTrio,,FirstMovement,,Austria,E major,
Piano Trio K542 ii A major,Mozart,K542,1788,,Piano,Violin,Cello,PianoTrio,,SlowMovement,,Austria,A major,
Piano Trio K542 iii E major,Mozart,K542,1788,,Piano,Violin,Cello,PianoTrio,,LastMovement,,Austria,E major,
Piano Trio K548 i C major,Mozart,K548,1788,,Piano,Violin,Cello,PianoTrio,,FirstMovement,,Austria,C major,
Piano Trio K548 ii F major,Mozart,K548,1788,,Piano,Violin,Cello,PianoTrio,,SlowMovement,,Austria,F major,
Piano Trio K548 iii C major,Mozart,K548,1788,,Piano,Violin,Cello,PianoTrio,,LastMovement,,Austria,C major,
Piano Trio K564 i G major,Mozart,K564,1788,,Piano,Violin,Cello,PianoTrio,,FirstMovement,,Austria,G major,
Piano Trio K564 ii C major,Mozart,K564,1788,,Piano,Violin,Cello,PianoTrio,,SlowMovement,,Austria,C major,
Piano Trio K564 iii G major,Mozart,K564,1788,,Piano,Violin,Cello,PianoTrio,,LastMOvement,,Austria,G major,
Piano Trio No 2 K442 i D major,Mozart,K442,1783,,Piano,Violin,Cello,PianoTrio,,FirstMovement,,Austria,D major,
Piece for Orgelstuck Four Hands K608 F minor,Mozart,K608,1791,,Organ,Organ,,Fantasy,,,,Austria,F minor,
Piece for Orgelwerk Four Hands K594 F minor,Mozart,K594,1790,,Organ,Organ,,SoloSonata,,,,Austria,F minor,
Prelude for Piano K394a C major,Mozart,K394a,1782,,Piano,,,Prelude,,,,Austria,C major,
Quartet for oboe violin viola and cello K370 i F major,Mozart,K370,1781,,Oboe,Violin,Viola,OtherChamber,,FirstMovement,,Austria,F major,
Quartet for oboe violin viola and cello K370 ii D minor,Mozart,K370,1781,,Oboe,Violin,Viola,OtherChamber,,SlowMovement,,Austria,D minor,
Quartet for oboe violin viola and cello K370 iii F major,Mozart,K370,1781,,Oboe,Violin,Viola,OtherChamber,,LastMovement,,Austria,F major,
Quintet for Piano and Winds K452 i Eb major,Mozart,K452,1784,,Piano,WindEnsemble,,PianoQuintet,,FirstMovement,,Austria,Eb major,
Quintet for Piano and Winds K452 ii Bb major,Mozart,K452,1784,,Piano,WindEnsemble,,PianoQuintet,,SlowMovement,,Austria,Bb major,
Quintet for Piano and Winds K452 iii Eb major,Mozart,K452,1784,,Piano,WindEnsemble,,PianoQuintet,,LastMovement,,Austria,Eb major,
"Requiem K626 1 ""Requiem aeternam"" D minor",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,D minor,
"Requiem K626 10 ""Sanctus"" D major",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,D major,
"Requiem K626 11 ""Benedictus"" Bb major",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,Bb major,
"Requiem K626 12 ""Agnus Dei"" D minor",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,D minor,
"Requiem K626 2 ""Dies irae"" D minor",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,D minor,
"Requiem K626 3 ""Tuba Mirum"" Bb major",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,Bb major,
"Requiem K626 4 ""Rex tremendae"" G minor",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,G minor,D minor
"Requiem K626 5 ""Recordare"" F major",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,F major,
"Requiem K626 6 ""Confutatis"" A minor",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,A minor,
"Requiem K626 7 ""Lacrimosa"" D minor",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,D minor,
"Requiem K626 8 ""Domine Jesu Christe"" G minor",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,G minor,
"Requiem K626 9 ""Hostias"" Eb major",Mozart,K626,1791,,SATB,Orchestra,,Mass,,,,Austria,Eb major,G minor
Rondo for Flute and Piano D major,Mozart,,,,Flute,Piano,,Rondo,,,,Austria,D major,
Rondo for Piano K485 D major,Mozart,K485,1786,,Piano,,,Rondo,,,,Austria,D major,
Rondo for Piano K511 A minor,Mozart,K511,1787,,Piano,,,Rondo,,,,Austria,A minor,
Serenade K204 i D major,Mozart,K204,1775,,Orchestra,,,OtherSpecified,,,,Austria,D major,
Serenade No10 K361 i Bb major,Mozart,K361,,1781-1783,WindEnsemble,,,OtherChamber,,FirstMovement,,Austria,Bb major,
Serenade No10 K361 ii Bb major,Mozart,K361,,1781-1783,WindEnsemble,,,OtherChamber,,DanceMovement,,Austria,Bb major,
Serenade No10 K361 iii Eb major,Mozart,K361,,1781-1783,WindEnsemble,,,OtherChamber,,SlowMovement,,Austria,Eb major,
Serenade No10 K361 iv Bb major,Mozart,K361,,1781-1783,WindEnsemble,,,OtherChamber,,DanceMovement,,Austria,Bb major,
Serenade No10 K361 v Eb major,Mozart,K361,,1781-1783,WindEnsemble,,,OtherChamber,,SlowMovement,,Austria,Eb major,
Serenade No10 K361 vi Bb major,Mozart,K361,,1781-1783,WindEnsemble,,,OtherChamber,,OtherMiddleMovement,,Austria,Bb major,
Serenade No10 K361 vii Bb major,Mozart,K361,,1781-1783,WindEnsemble,,,OtherChamber,,LastMovement,,Austria,Bb major,
"Serenade No13 ""Eine Kleine Nachtmusik"" K525 i G major",Mozart,K525,1787,,StringQuintet,,,OtherChamber,,FirstMovement,,Austria,G major,
"Serenade No13 ""Eine Kleine Nachtmusik"" K525 ii C major",Mozart,K525,1787,,StringQuintet,,,OtherChamber,,SlowMovement,,Austria,C major,
"Serenade No13 ""Eine Kleine Nachtmusik"" K525 iii G major",Mozart,K525,1787,,StringQuintet,,,OtherChamber,,DanceMovement,,Austria,G major,
"Serenade No13 ""Eine Kleine Nachtmusik"" K525 iv G major",Mozart,K525,1787,,StringQuintet,,,OtherChamber,,LastMovement,,Austria,G major,
Sinfonia Concertante K364 i Eb major,Mozart,K364,1779,,Orchestra,Violin,Viola,DoubleConcerto,,FirstMovement,,Austria,Eb major,
Sinfonia Concertante K364 ii C minor,Mozart,K364,1779,,Orchestra,Violin,Viola,DoubleConcerto,,SlowMovement,,Austria,C minor,
Six German Dances K509 D major,Mozart,K509,1787,,Piano,,,SoloDanceOneMovement,,,,Austria,D major,
"Six Notturni No1 K346 ""Luci care luci belle"" F major",Mozart,K346,1783,,Voice,Horn,Horn,OtherChamber,,,,Austria,F major,
"Six Notturni No2 K438 ""Se lontan ben mio tu sei"" Eb major",Mozart,K438,1783,,Soprano,Soprano,Bass,OtherChamber,,,,Austria,Eb major,
"Six Notturni No3 K439 ""Due pupille amabili"" F major",Mozart,K439,1783,,Soprano,Soprano,Bass,OtherChamber,,,,Austria,F major,
"Six Notturni No4 K549 ""Piu non si trovano fra mille amanti"" Bb major",Mozart,K549,1788,,Soprano,Soprano,Bass,OtherChamber,,,,Austria,Bb major,
"Six Notturni No5 K436 ""Ecco quel fiero istante"" F major",Mozart,K436,1783,,Soprano,Soprano,Bass,OtherChamber,,,,Austria,F major,
"Six Notturni No6 K437 ""Mi lagnero tacendo"" G major",Mozart,K437,1783,,Soprano,Soprano,Bass,OtherChamber,,,,Austria,G major,
"Six-Voice Canon K347 ""Lass uns ziehn"" D major",Mozart,K347,1782,,Voice,,,OtherSpecified,,,,Austria,D major,
"Solemn Vespers K339 ""Dixit Dominus"" (Reduction) C major",Mozart,K339,1780,,SATB,Organ,Orchestra,,,,,Austria,C major,
"Solemn Vespers K339 ""Laudate Dominum"" (Reduction) F major",Mozart,K339,1780,,SATB,Organ,Orchestra,,,,,Austria,F major,
Sonata for Two Pianos K448 i D major,Mozart,K448,1781,,Piano,Piano,,AccompaniedSonata,,FirstMovement,,Austria,D major,
Sonata for Two Pianos K448 ii G major,Mozart,K448,1781,,Piano,Piano,,AccompaniedSonata,,SlowMovement,,Austria,G major,
Sonata for Two Pianos K448 iii D major,Mozart,K448,1781,,Piano,Piano,,AccompaniedSonata,,LastMovement,,Austria,D major,
"Sonata for Violins, Trumpets, Organ, Cello, and Bass K263 C major",Mozart,K263,1776,,Violin,Cello,Bass,AccompaniedSonata,,,,Austria,C major,
Sonata Four Hands K19d i C major,Mozart,K19d,1765,,Piano,Piano,,AccompaniedSonata,,FirstMovement,,Austria,C major,
Sonata Four Hands K19d ii C major,Mozart,K19d,1765,,Piano,Piano,,AccompaniedSonata,,SlowMovement,,Austria,C major,
Sonata Four Hands K19d iii C major,Mozart,K19d,1765,,Piano,Piano,,AccompaniedSonata,,LastMovement,,Austria,C major,
Sonata Four Hands K357 i G major,Mozart,K357,1786,,Piano,Piano,,AccompaniedSonata,,FirstMovement,,Austria,G major,
Sonata Four Hands K357 ii G major,Mozart,K357,1786,,Piano,Piano,,AccompaniedSonata,,SlowMovement,,Austria,G major,
Sonata Four Hands K357 iii G major,Mozart,K357,1786,,Piano,Piano,,AccompaniedSonata,,LastMovement,,Austria,G major,
Sonata Four Hands K358 i Bb major,Mozart,K358,1774,,Piano,Piano,,AccompaniedSonata,,FirstMovement,,Austria,Bb major,
Sonata Four Hands K358 ii Eb major,Mozart,K358,1774,,Piano,Piano,,AccompaniedSonata,,SlowMovement,,Austria,Eb major,
Sonata Four Hands K358 iii Bb major,Mozart,K358,1774,,Piano,Piano,,AccompaniedSonata,,LastMovement,,Austria,Bb major,
Sonata Four Hands K381 i D major,Mozart,K381,1772,,Piano,Piano,,AccompaniedSonata,,FirstMovement,,Austria,D major,
Sonata Four Hands K381 ii G major,Mozart,K381,1772,,Piano,Piano,,AccompaniedSonata,,SlowMovement,,Austria,G major,
Sonata Four Hands K381 iii D major,Mozart,K381,1772,,Piano,Piano,,AccompaniedSonata,,LastMovement,,Austria,D major,
Sonata Four Hands K497 i F major,Mozart,K497,1786,,Piano,Piano,,AccompaniedSonata,,FirstMovement,,Austria,F major,
Sonata Four Hands K497 ii Bb major,Mozart,K497,1786,,Piano,Piano,,AccompaniedSonata,,SlowMovement,,Austria,Bb major,
Sonata Four Hands K497 iii F major,Mozart,K497,1786,,Piano,Piano,,AccompaniedSonata,,LastMovement,,Austria,F major,
Sonata Four Hands K521 i C major,Mozart,K521,1787,,Piano,Piano,,AccompaniedSonata,,FirstMovement,,Austria,C major,
Sonata Four Hands K521 ii F major,Mozart,K521,1787,,Piano,Piano,,AccompaniedSonata,,SlowMovement,,Austria,F major,
Sonata Four Hands K521 iii C major,Mozart,K521,1787,,Piano,Piano,,AccompaniedSonata,,LastMovement,,Austria,C major,
String Quartet No1 K80 i G major,Mozart,K80,1770,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,G major,
String Quartet No1 K80 ii G major,Mozart,K80,1770,,StringQuartet,,,StringQuartet,,OtherMiddleMovement,,Austria,G major,
String Quartet No1 K80 iii G major,Mozart,K80,1770,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,G major,
String Quartet No1 K80 iv G major,Mozart,K80,1770,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,G major,
String Quartet No10 K170 i C major,Mozart,K170,1773,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,C major,
String Quartet No10 K170 ii C major,Mozart,K170,1773,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,C major,
String Quartet No10 K170 iii G major,Mozart,K170,1773,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,G major,
String Quartet No10 K170 iv C major,Mozart,K170,1773,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,C major,
String Quartet No11 K171 i Eb major,Mozart,K171,1773,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,Eb major,
String Quartet No11 K171 ii Eb major,Mozart,K171,1773,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,Eb major,
String Quartet No11 K171 iii C minor,Mozart,K171,1773,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,C minor,
String Quartet No11 K171 iv Eb major,Mozart,K171,1773,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,Eb major,
String Quartet No12 K172 i Bb major,Mozart,K172,1773,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,Bb major,
String Quartet No12 K172 ii Eb major,Mozart,K172,1773,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,Eb major,
String Quartet No12 K172 iii Bb major,Mozart,K172,1773,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,Bb major,
String Quartet No12 K172 iv Bb major,Mozart,K172,1773,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,Bb major,
String Quartet No13 K173 i D minor,Mozart,K173,1773,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,D minor,
String Quartet No13 K173 ii D major,Mozart,K173,1773,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,D major,
String Quartet No13 K173 iii D minor,Mozart,K173,1773,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,D minor,
String Quartet No13 K173 iv D minor,Mozart,K173,1773,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,D minor,
String Quartet No14 K387 i G major,Mozart,K387,1782,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,G major,
String Quartet No14 K387 ii G major,Mozart,K387,1782,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,G major,
String Quartet No14 K387 iii C major,Mozart,K387,1782,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,C major,
String Quartet No14 K387 iv G major,Mozart,K387,1782,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,G major,
String Quartet No15 K421 i D minor,Mozart,K421,1783,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,D minor,
String Quartet No15 K421 ii F major,Mozart,K421,1783,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,F major,
String Quartet No15 K421 iii D minor,Mozart,K421,1783,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,D minor,
String Quartet No15 K421 iv D minor,Mozart,K421,1783,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,D minor,
String Quartet No16 K428 i Eb major,Mozart,K428,1783,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,Eb major,
String Quartet No16 K428 ii Ab major,Mozart,K428,1783,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,Ab major,
String Quartet No16 K428 iii Eb major,Mozart,K428,1783,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,Eb major,
String Quartet No16 K428 iv Eb major,Mozart,K428,1783,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,Eb major,
String Quartet No17 K458 i Bb major,Mozart,K458,1784,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,Bb major,
String Quartet No17 K458 ii Bb major,Mozart,K458,1784,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,Bb major,
String Quartet No17 K458 iii Eb major,Mozart,K458,1784,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,Eb major,
String Quartet No17 K458 iv Bb major,Mozart,K458,1784,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,Bb major,
String Quartet No18 K464 i A major,Mozart,K464,1785,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,A major,
String Quartet No18 K464 ii A major,Mozart,K464,1785,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,A major,
String Quartet No18 K464 iii D major,Mozart,K464,1785,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,D major,
String Quartet No18 K464 iv A major,Mozart,K464,1785,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,A major,
String Quartet No19 K465 i C major,Mozart,K465,1785,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,C major,
String Quartet No19 K465 ii F major,Mozart,K465,1785,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,F major,
String Quartet No19 K465 iii C major,Mozart,K465,1785,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,C major,
String Quartet No19 K465 iv C major,Mozart,K465,1785,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,C major,
String Quartet No2 K155 i D major,Mozart,K155,1772,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,D major,
String Quartet No2 K155 ii A major,Mozart,K155,1772,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,A major,
String Quartet No2 K155 iii D major,Mozart,K155,1772,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,D major,
String Quartet No20 K499 i D major,Mozart,K499,1786,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,D major,
String Quartet No20 K499 ii D major,Mozart,K499,1786,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,D major,
String Quartet No20 K499 iii G major,Mozart,K499,1786,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,G major,
String Quartet No20 K499 iv D major,Mozart,K499,1786,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,D major,
String Quartet No21 K575 i D major,Mozart,K575,1789,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,D major,
String Quartet No21 K575 ii A major,Mozart,K575,1789,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,A major,
String Quartet No21 K575 iii D major,Mozart,K575,1789,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,D major,
String Quartet No21 K575 iv D major,Mozart,K575,1789,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,D major,
String Quartet No22 K589 i Bb major,Mozart,K589,1790,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,Bb major,
String Quartet No22 K589 ii Eb major,Mozart,K589,1790,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,Eb major,
String Quartet No22 K589 iii Bb major,Mozart,K589,1790,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,Bb major,
String Quartet No22 K589 iv Bb major,Mozart,K589,1790,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,Bb major,
String Quartet No23 K590 i F major,Mozart,K590,1790,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,F major,
String Quartet No23 K590 ii C major,Mozart,K590,1790,,StringQuartet,,,StringQuartet,,OtherMiddleMovement,,Austria,C major,
String Quartet No23 K590 iii F major,Mozart,K590,1790,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,F major,
String Quartet No23 K590 iv F major,Mozart,K590,1790,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,F major,
String Quartet No3 K156 i G major,Mozart,K156,1772,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,G major,
String Quartet No3 K156 ii E minor,Mozart,K156,1772,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,E minor,
String Quartet No3 K156 iii G major,Mozart,K156,1772,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,G major,
String Quartet No4 K157 i C major,Mozart,K157,,1772-1773,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,C major,
String Quartet No4 K157 ii C minor,Mozart,K157,,1772-1773,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,C minor,
String Quartet No4 K157 iii C major,Mozart,K157,,1772-1773,StringQuartet,,,StringQuartet,,LastMovement,,Austria,C major,
String Quartet No5 K158 i F major,Mozart,K158,1773,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,F major,
String Quartet No5 K158 ii A minor,Mozart,K158,1773,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,A minor,
String Quartet No5 K158 iii F major,Mozart,K158,1773,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,F major,
String Quartet No6 K159 i Bb major,Mozart,K159,1773,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,Bb major,
String Quartet No6 K159 ii G minor,Mozart,K159,1773,,StringQuartet,,,StringQuartet,,OtherMiddleMovement,,Austria,G minor,
String Quartet No6 K159 iii Bb major,Mozart,K159,1773,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,Bb major,
String Quartet No7 K160 i Eb major,Mozart,K160,1773,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,Eb major,
String Quartet No7 K160 ii Ab major,Mozart,K160,1773,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,Ab major,
String Quartet No7 K160 iii Eb major,Mozart,K160,1773,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,Eb major,
String Quartet No8 K168 i F major,Mozart,K168,1773,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,F major,
String Quartet No8 K168 ii F minor,Mozart,K168,1773,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,F minor,
String Quartet No8 K168 iii F major,Mozart,K168,1773,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,F major,
String Quartet No8 K168 iv F major,Mozart,K168,1773,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,F major,
String Quartet No9 K169 i A major,Mozart,K169,1773,,StringQuartet,,,StringQuartet,,FirstMovement,,Austria,A major,
String Quartet No9 K169 ii D major,Mozart,K169,1773,,StringQuartet,,,StringQuartet,,SlowMovement,,Austria,D major,
String Quartet No9 K169 iii A major.mid,Mozart,K169,1773,,StringQuartet,,,StringQuartet,,DanceMovement,,Austria,A major,
String Quartet No9 K169 iv A major,Mozart,K169,1773,,StringQuartet,,,StringQuartet,,LastMovement,,Austria,A major,
Symphony in D K.95 i,Mozart,K95,1770,,Orchestra,,,Symphony,,FirstMovement,,Austria,D major,
Symphony in D K.95 ii,Mozart,K95,1770,,Orchestra,,,Symphony,,SlowMovement,,Austria,D major,
Symphony in D K.95 iii,Mozart,K95,1770,,Orchestra,,,Symphony,,DanceMovement,,Austria,G major,
Symphony in D K.95 iv,Mozart,K95,1770,,Orchestra,,,Symphony,,LastMovement,,Austria,D major,
"Symphony No.1 in Eb, K.16 i",Mozart,K16,1764,,Orchestra,,,Symphony,,FirstMovement,,Austria,Eb major,
"Symphony No.1 in Eb, K.16 ii",Mozart,K16,1764,,Orchestra,,,Symphony,,SlowMovement,,Austria,C minor,
"Symphony No.1 in Eb, K.16 iii",Mozart,K16,1764,,Orchestra,,,Symphony,,LastMovement,,Austria,Eb major,
"Symphony No.11 in D, K.84 i",Mozart,K84,1770,,Orchestra,,,Symphony,,FirstMovement,,Austria,D major,
"Symphony No.11 in D, K.84 ii",Mozart,K84,1770,,Orchestra,,,Symphony,,SlowMovement,,Austria,A major,
"Symphony No.11 in D, K.84 iii",Mozart,K84,1770,,Orchestra,,,Symphony,,LastMovement,,Austria,D major,
"Symphony No.14 in A, K.114",Mozart,K114,1771,,Orchestra,,,Symphony,,FirstMovement,,Austria,A major,
"Symphony No.15 in G, K.124 iv ",Mozart,K124,1772,,Orchestra,,,Symphony,,LastMovement,,Austria,G major,
"Symphony No.16 in C, K.128 i",Mozart,K128,1772,,Orchestra,,,Symphony,,FirstMovement,,Austria,C major,
"Symphony No.16 in C, K.128 ii",Mozart,K128,1772,,Orchestra,,,Symphony,,SlowMovement,,Austria,G major,
"Symphony No.16 in C, K.128 iii",Mozart,K128,1772,,Orchestra,,,Symphony,,LastMovement,,Austria,C major,
"Symphony No.17 in G, K.129 i",Mozart,K129,1772,,Orchestra,,,Symphony,,FirstMovement,,Austria,G major,
"Symphony No.17 in G, K.129 ii",Mozart,K129,1772,,Orchestra,,,Symphony,,SlowMovement,,Austria,C major,
"Symphony No.17 in G, K.129 iii",Mozart,K129,1772,,Orchestra,,,Symphony,,LastMovement,,Austria,G major,
"Symphony No.18 in F, K.130 iv",Mozart,K130,1772,,Orchestra,,,Symphony,,LastMovement,,Austria,F major,
"Symphony No.18 in F, K.130 i",Mozart,K130,1772,,Orchestra,,,Symphony,,FirstMovement,,Austria,F major,
"Symphony No.18 in F, K.130 ii",Mozart,K130,1772,,Orchestra,,,Symphony,,SlowMovement,,Austria,F major,
"Symphony No.18 in F, K.130 iii",Mozart,K130,1772,,Orchestra,,,Symphony,,DanceMovement,,Austria,F major,
"Symphony No.20 in D, K.133 i",Mozart,K133,1772,,Orchestra,,,Symphony,,FirstMovement,,Austria,D major,
"Symphony No.20 in D, K.133 ii",Mozart,K133,1772,,Orchestra,,,Symphony,,SlowMovement,,Austria,A major,
"Symphony No.20 in D, K.133 iii",Mozart,K133,1772,,Orchestra,,,Symphony,,DanceMovement,,Austria,D major,
"Symphony No.20 in D, K.133 iv",Mozart,K133,1772,,Orchestra,,,Symphony,,LastMovement,,Austria,D major,
